epoch,train_loss,val_loss_d,val_d_real,val_d_fake,val_gradient_penalty,val_wasserstein_dist,val_loss,val_unified_loss,val_loss_g,val_d_fake_g
1,0.218942,,,,,,,,,
2,-0.231267,,,,,,,,,
3,-0.844668,-1.455542,-1.063430,-2.983793,0.046482,1.920363,-1.212806,-1.212806,3.058676,-3.058676
4,-1.680336,-1.455542,-1.063430,-2.983793,0.046482,1.920363,-1.212806,-1.212806,3.058676,-3.058676
5,-2.109587,-3.486039,0.720587,-3.183334,0.041788,3.903921,-1.815946,-1.815946,3.349301,-3.349301
6,-3.095392,-3.486039,0.720587,-3.183334,0.041788,3.903921,-1.815946,-1.815946,3.349301,-3.349301
7,-3.958175,-5.389565,2.588142,-3.361262,0.055984,5.949405,-3.330913,-3.330913,3.209716,-3.209716
8,-4.427167,-5.389565,2.588142,-3.361262,0.055984,5.949405,-3.330913,-3.330913,3.209716,-3.209716
9,-5.768754,-7.536738,4.820065,-3.643631,0.092696,8.463695,-4.814114,-4.814114,3.855272,-3.855272
10,-6.487156,-7.536738,4.820065,-3.643631,0.092696,8.463695,-4.814114,-4.814114,3.855272,-3.855272
11,-7.541913,-10.334588,7.703562,-4.090495,0.145947,11.794057,-9.650350,-9.650350,3.932841,-3.932841
12,-9.313370,-10.334588,7.703562,-4.090495,0.145947,11.794057,-9.650350,-9.650350,3.932841,-3.932841
13,-10.422564,-13.678030,11.057053,-4.642428,0.202145,15.699480,-9.968172,-9.968172,4.497562,-4.497562
14,-13.122763,-13.678030,11.057053,-4.642428,0.202145,15.699480,-9.968172,-9.968172,4.497562,-4.497562
15,-15.120058,-18.787005,15.821416,-5.627908,0.266232,21.449324,-13.856426,-13.856426,5.281996,-5.281996
16,-16.556984,-18.787005,15.821416,-5.627908,0.266232,21.449324,-13.856426,-13.856426,5.281996,-5.281996
17,-20.259524,-24.968103,21.059299,-7.417153,0.350835,28.476452,-17.851592,-17.851592,7.310804,-7.310804
18,-21.736226,-24.968103,21.059299,-7.417153,0.350835,28.476452,-17.851592,-17.851592,7.310804,-7.310804
19,-24.681478,-33.295200,27.241794,-10.211040,0.415763,37.452833,-30.869968,-30.869968,10.249657,-10.249657
20,-30.039371,-33.295200,27.241794,-10.211040,0.415763,37.452833,-30.869968,-30.869968,10.249657,-10.249657
